City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,puerto ayora,-0.7393,-90.3518,24.75,94,17,0.89,EC,1737603328
1,sechura,-5.5569,-80.8222,21.3,82,43,4.8,PE,1737603330
2,blackmans bay,-43.0167,147.3167,15.96,60,100,0.45,AU,1737603331
3,west island,-12.1568,96.8225,28.99,65,100,3.6,CC,1737603332
4,pedregal,8.3667,-82.4333,23.05,94,20,0.51,PA,1737603333
5,ribeira grande,38.5167,-28.7,16.54,83,76,7.15,PT,1737603334
6,coquimbo,-29.9533,-71.3436,16.85,82,0,0.0,CL,1737603183
7,kirakira,-10.4544,161.9205,28.29,76,100,2.24,SB,1737603337
8,grytviken,-54.2811,-36.5092,-0.09,74,10,5.58,GS,1737603338
9,puerto natales,-51.7236,-72.4875,8.05,95,100,0.67,CL,1737603339
10,keflavik,64.0049,-22.5624,2.24,69,75,11.32,IS,1737603340
11,iqaluit,63.7506,-68.5145,-16.15,72,75,9.77,CA,1737603341
12,udachny,66.4167,112.4,-19.42,97,99,1.69,RU,1737603342
13,hermanus,-34.4187,19.2345,20.61,90,96,2.19,ZA,1737603344
14,al ghayzah,16.2079,52.176,18.44,29,0,4.19,YE,1737603345
15,arraial do cabo,-22.9661,-42.0278,24.57,95,77,5.77,BR,1737603346
16,hamilton,39.1834,-84.5333,-7.09,60,0,5.14,US,1737602903
17,aasiaat,68.7098,-52.8699,-8.98,92,100,3.58,GL,1737603348
18,fort bragg,35.139,-79.006,-5.67,69,4,1.61,US,1737603349
19,tynda,55.1667,124.7167,-20.91,95,80,0.36,RU,1737603351
20,adamstown,-25.066,-130.1015,25.02,79,7,4.66,PN,1737603352
21,invercargill,-46.4,168.35,12.79,88,89,2.24,NZ,1737603353
22,margaret river,-33.95,115.0667,30.53,36,100,3.18,AU,1737603354
23,saint-amand-montrond,46.75,2.5,5.16,93,92,3.86,FR,1737603355
24,danjiangkou,32.5428,111.5086,7.85,57,100,3.64,CN,1737603356
25,bethel,41.3712,-73.414,-10.05,63,0,1.54,US,1737603120
26,gadzhiyevo,69.2551,33.3362,-13.92,96,100,4.37,RU,1737603359
27,stanley,54.868,-1.6985,0.01,95,100,1.03,GB,1737603254
28,anloga,5.7947,0.8973,26.35,91,88,4.03,GH,1737603361
29,remire-montjoly,4.9167,-52.2667,23.02,100,75,1.03,GF,1737603362
30,kharp,66.8014,65.8081,-24.26,94,23,3.22,RU,1737603363
